Name,DSP.Project,KSSL.Project,Date,Collectors,UserPedonID,labsampleno,Layer_sequ,layerid,dsp_limslayer_id,Region/strata,Soil,Comparison,COND,Plot,Pedon,Plot ID,Crop,AgronFeat,Pedon_ID,Hor_sequ,hor_ID,Comp_layer,hor_desg,hor_top,hor_bottom,hor_thick,Moist,AggStab,Bgluc,Pom_C,Pom_N,Pom_S,POX_C,CaCarb,Ca_amextr,CEC_ph7,Mg_amextr,K_amextr,Na_extr,Tot_C,Tot_N,Tot_S,CEC_NH4OAc,Mehlich_P,Est_totOC,ph_h20,ph_Cacl2,EC_test,Clay,Sand,Silt,CF_labvol,Sum_bases,BS_NH4OAc,BS_sumBase,Eff_CEC,CEC_sumcation,extr_acid,sand_coarse,sand_fine,sand_medium,sand_vfine,sand_vcoarse,silt_fine,BD_core_fld,FM_core,BD_recon13,BD_recon_moist,BD_compcav,FM_compcav,FM_clod,BD_clod_13,surf_stab,25_stab,Total.C,Total.N,BD_other
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053027,12N01622,2,S11OK053027-2,,none,Kirkland,Conventional Tillage,CT,5,2,CT5,wheat,CGC,CT5-2,2,CT5-2-2,1,A2,2,24,22,,0,21,0.18160539,0.00060709,0,334.87,,6.16,16.95,5.29,0.57,0.41,1.07,0.1,0,55.78,,1.07,5.29,4.61,0.16,26.23,11.2,62.6,1,12.5,74,59,13,21.3,8.7873795,0.12,0.48,0.35,10.31,0,19.54,1.238,25.3634895,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053027,12N01623,3,S11OK053027-3,,none,Kirkland,Conventional Tillage,CT,5,2,CT5,wheat,CGC,CT5-2,3,CT5-2-3,3,Bt1,24,50,26,,15,16,0.0377276,0.0024672,0,229.69,,16.26,34.43,14.2,0.58,3.66,0.85,0.07,0,54.77,,0.85,7.37,6.92,0.31,49.88,4.8,45.3,1,34.8,100,90,,38.8,4.0214199,0.1,0.25,0.2,4.31,0.03,19.36,1.198,30.3839733,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053028,12N01624,1,S11OK053028-1,,none,Kirkland,Conventional Tillage,CT,5,3,CT5,wheat,CGC,CT5-3,1,CT5-3-1,1,A1,0,2,2,,0,18,0.19078136,0.00809059,0,333.41,,5.62,15.49,4.83,0.83,0.27,1.02,0.14,0,54.83,,1.02,4.8,4.35,0.31,25.78,10.2,64,1,11.5,74,58,12.2,20,8.4796257,0.12,0.71,0.31,9.13,0,19.21,1.10672494,25.477707,,,,,,,5,4,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053028,12N01625,2,S11OK053028-2,,none,Kirkland,Conventional Tillage,CT,5,3,CT5,wheat,CGC,CT5-3,2,CT5-3-2,1,A2,2,16,14,,0,11,0.12053845,0.01236986,0,296.68,,6.34,16.36,5.19,0.54,0.59,0.94,0.14,0.01,54.79,,0.94,4.69,4.31,0.49,25.22,11.2,63.6,1,12.6,77,58,13.5,21.9,9.3202477,0.03,0.46,0.48,10.21,0.02,21.05,1.226,26.2642741,,,,,,,5,4,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053028,12N01626,3,S11OK053028-3,,none,Kirkland,Conventional Tillage,CT,5,3,CT5,wheat,CGC,CT5-3,3,CT5-3-3,3,Bt1,16,55,39,,22,10,0.02345815,0,0,191.1,,16.58,33.47,13.41,0.64,3.35,0.81,0.12,0,55.63,,0.81,7.08,6.78,0.3,46.02,10.8,43.2,1,34,100,89,,38,4.0101865,0.13,0.4,0.31,10.02,0.04,21.2,1.292,26.625387,,,,,,,5,4,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053029,12N01627,1,S11OK053029-1,,none,Kirkland,Conventional Tillage,CT,5,4,CT5,wheat,CGC,CT5-4,1,CT5-4-1,1,A1,0,2,2,,1,26,0.28057951,0.02335779,0,369.69,,5.31,14.28,4.38,1.04,0,1.12,0.14,0,56.5,,1.12,4.47,4.23,0.52,22.72,9.6,67.7,1,10.7,75,56,11.5,19.1,8.358616,0.1,0.74,0.15,8.74,0.02,19.78,1.20541379,28.0701754,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053029,12N01628,2,S11OK053029-2,,none,Kirkland,Conventional Tillage,CT,5,4,CT5,wheat,CGC,CT5-4,2,CT5-4-2,1,A2,2,20,18,,1,14,0.14929675,0.00925871,0,333.48,,5.41,14.28,4.48,0.43,0.09,0.95,0.12,0,55.22,,0.95,5.75,4.98,0.09,22.92,4.8,72.3,1,10.4,73,56,10.5,18.6,8.2414072,0.04,0.35,0.04,4.39,0.03,20.45,1.262,28.6846276,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053029,12N01629,3,S11OK053029-3,,none,Kirkland,Conventional Tillage,CT,5,4,CT5,wheat,CGC,CT5-4,3,CT5-4-3,3,Bt1,20,54,34,,31,18,0.03568739,0.00049825,0,266.65,,16.27,32.9,12.89,0.65,3.25,0.97,0.1,0,56.94,,0.97,7.46,6.76,0.21,44.81,6.1,49.1,1,33.2,100,88,,37.6,4.4338652,0.02,0.26,0.23,5.59,0.02,19.93,1.288,26.0869565,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053030,12N01630,1,S11OK053030-1,,none,Kirkland,Conventional Tillage,CT,5,5,CT5,wheat,CGC,CT5-5,1,CT5-5-1,1,A1,0,2,2,,2,19,0.32215195,0.00895177,0,368.4,,4.4,12.65,3.76,1.03,0.18,1.12,0.11,0,55.75,,1.12,4.38,4.16,0.95,20.01,13.5,66.5,1,9.4,75,52,10.2,18.1,8.733656,0.22,0.59,0.5,12.06,0.1,19.92,1.26885662,23.8888889,,,,,,,6,4,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053030,12N01631,2,S11OK053030-2,,none,Kirkland,Conventional Tillage,CT,5,5,CT5,wheat,CGC,CT5-5,2,CT5-5-2,1,A2,2,24,22,,47,21,0.34984427,0.01171296,0.002831705,368.53,,4.81,13.17,4.31,0.81,0.55,1.13,0.15,0,58.03,,1.13,4.48,4.26,1.05,19.2,13.1,67.7,1,10.4,79,55,11.1,18.9,8.5091822,0.18,0.8,0.25,11.71,0.05,20.96,1.2,16.5,,,,,,,6,4,,,
